key,kn,type
Abdul Karim Chowdhury,ಅಬ್ದುಲ್ ಕರೀಂ ಚೌಧರಿ,string
Abdul Khaleque Molla,ಅಬ್ದುಲ್ ಖಲೀಕ್ ಮೊಲ್ಲಾ,string
Abdul Mannan,ಅಬ್ದುಲ್ ಮನ್ನನ್,string
Abdul Soumik Hossain,ಅಬ್ದುಲ್ ಸೌಮಿಕ್ ಹೊಸೈನ್,string
Abdur Rahaman Liton,ಅಬ್ದುರ್ ರೆಹಮಾನ್ ಲಿಟನ್,string
Abdur Rahim Ahmed,ಅಬ್ದುರ್ ರಹೀಮ್ ಅಹಮದ್,string
Abdur Rahim Bakshi,ಅಬ್ದುರ್ ರಹೀಮ್ ಬಕ್ಷಿ,string
Abdur Rahim Qazi,ಅಬ್ದುರ್ ರಹೀಮ್ ಖಾಜಿ,string
Abdur Rahim Quazi,ಅಬ್ದುರ್ ರಹೀಮ್ ಕ್ವಾಜಿ,string
Abdur Rasheed Mandal,ಅಬ್ದುರ್ ರಶೀದ್ ಮಂಡಲ್,string
Abdur Razzak,ಅಬ್ದುರ್ ರಝಾಕ್,string
Abdur Razzak Mandal,ಅಬ್ದುರ್ ರಝಾಕ್ ಮಂಡಲ್,string
Abdur Razzak Molla,ಅಬ್ದುರ್ ರಝಾಕ್ ಮೊಲ್ಲಾ,string
Abdus Sobahun Ali Sarkar,ಅಬ್ದುಸ್ ಸೋಬಾಹುನ್ ಅಲಿ ಸರ್ಕಾರ್,string
Abhayapuri North,ಅಭಯಪುರಿ ಉತ್ತರ,string
Abhayapuri South (SC),ಅಭಯಪುರಿ ದಕ್ಷಿಣ (ಎಸ್‌ಸಿ),string
Abhedananda Thander,ಅಭೇದಾನಂದ ತಾಂಡರ್,string
Abhijit Roy,ಅಭಿಜಿತ್ ರಾಯ್,string
Abhijit Sinha,ಅಭಿಜಿತ್ ಸಿನ್ಹಾ,string
Abid Hussain Thangal,ಅಬಿದ್ ಹುಸೇನ್ ತಂಗಳ್,string
Abu Hena,ಅಬು ಹೆನಾ,string
Abu Taher Khan,ಅಬು ತಾಹೆರ್ ಖಾನ್,string
Adalarasan. P,ಅದಲರಸನ್. ಪಿ,string
Aditi Munshi,ಅದಿತಿ ಮುನ್ಷಿ,string
Adoor,ಅಡೂರ್,string
Adoor Prakash,ಅಡೂರ್ ಪ್ರಕಾಶ್,string
Adv. Aminul Islam,ಅಡ್ವ. ಅಮಿನುಲ್ ಇಸ್ಲಾಂ,string
Aftabuddin Mollah,ಅಫ್ತಾಬುದ್ದೀನ್ ಮೊಲ್ಲಾ,string
Agnimitra Paul,ಅಗ್ನಿಮಿತ್ರ ಪಾಲ್,string
Ahamed Devarkovil,ಅಹಮದ್ ದೇವರಕೋವಿಲ್,string
Ajanta Neog,ಅಜಂತಾ ನಿಯೋಗ್,string
Ajay Kumar Poddar,ಅಜಯ್ ಕುಮಾರ್ ಪೊದ್ದಾರ್,string
Ajit Maity,ಅಜಿತ್ ಮೇಟಿ,string
Ajit Ray,ಅಜಿತ್ ರೇ,string
Ajoy Kumar Ray,ಅಜೋಯ್ ಕುಮಾರ್ ರೇ,string
Akhil Giri,ಅಖಿಲ್ ಗಿರಿ,string
"Akhil Gogoi{{efn|Akhil Gogoi is the president of Raijor Dal, but he contested the election as an independent candidate.}}","ಅಖಿಲ್ ಗೊಗೊಯ್{{efn|ಅಖಿಲ್ ಗೊಗೊಯ್ ರೈಜೋರ್ ದಳದ ಅಧ್ಯಕ್ಷರಾಗಿದ್ದಾರೆ, ಆದರೆ ಅವರು ಸ್ವತಂತ್ರ ಅಭ್ಯರ್ಥಿಯಾಗಿ ಚುನಾವಣೆಯಲ್ಲಿ ಸ್ಪರ್ಧಿಸಿದ್ದಾರೆ.}}",string
Akhruzzaman,ಅಖ್ರುಜ್ಜಮಾನ್,string
Alandur,ಆಲಂದೂರು,string
Alangudi,ಆಲಂಗುಡಿ,string
Alangulam,ಅಲಂಗುಲಂ,string
Alappuzha,ಆಲಪ್ಪುಳ,string
Alathur,ಆಲತ್ತೂರು,string
Alberuni Zulkarnain,ಅಲ್ಬೆರುನಿ ಜುಲ್ಕರ್ನೈನ್,string
Algapur,ಅಳಗಾಪುರ,string
Ali Imran Ramz (Victor),ಅಲಿ ಇಮ್ರಾನ್ ರಾಮ್ಜ್ (ವಿಕ್ಟರ್),string
Alipurduars,ಅಲಿಪುರ್ದುವಾರ್ಸ್,string
Alok Kumar Majhi,ಅಲೋಕ್ ಕುಮಾರ್ ಮಾಝಿ,string
Alok Mukherjee,ಅಲೋಕ್ ಮುಖರ್ಜಿ,string
Aloke Jaldata,ಅಲೋಕೆ ಜಲದಾತಾ,string
Aloor Shanavas,ಆಲೂರು ಶಾನವಾಸ್,string
Aluva,ಆಲುವಾ,string
Amal Acharjee,ಅಮಲ್ ಆಚಾರ್ಜಿ,string
Amar Chand Jain,ಅಮರ್ ಚಂದ್ ಜೈನ್,string
Amar Singh Rai,ಅಮರ್ ಸಿಂಗ್ ರೈ,string
Amarnath Shakha,ಅಮರನಾಥ ಶಾಖಾ,string
Ambalappuzha,ಅಂಬಲಪ್ಪುಳ,string
Ambasamudram,ಅಂಬಾಸಮುದ್ರಂ,string
Ambattur,ಅಂಬತ್ತೂರು,string
Ambethkumar. S,ಅಂಬೇತ್ಕುಮಾರ್. ಎಸ್,string
Ambika Roy,ಅಂಬಿಕಾ ರಾಯ್,string
Ambur,ಅಂಬೂರು,string
Amdanga,ಅಮ್ದಂಗ,string
Amguri,ಅಮ್ಗುರಿ,string
Aminul Haque Laskar,ಅಮಿನುಲ್ ಹಕ್ ಲಸ್ಕರ್,string
Aminul Islam,ಅಮಿನುಲ್ ಇಸ್ಲಾಂ,string
Amirul Islam,ಅಮೀರುಲ್ ಇಸ್ಲಾಂ,string
Amit Mitra,ಅಮಿತ್ ಮಿತ್ರ,string
Amiya Kanti Bhattacharjee,ಅಮಿಯಾ ಕಾಂತಿ ಭಟ್ಟಾಚಾರ್ಜಿ,string
Amiya Kumar Bhuyan,ಅಮಿಯಾ ಕುಮಾರ್ ಭುಯಾನ್,string
Amman K. Arjunan,ಅಮ್ಮನ್ ಕೆ. ಅರ್ಜುನನ್,string
Amta,ಅಮತಾ,string
Anaikattu,ಆನೈಕಟ್ಟು,string
Anandamoy Barman,ಆನಂದಮೋಯ್ ಬರ್ಮನ್,string
Ananta Deb Adhikari,ಅನಂತ ದೇಬ್ ಅಧಿಕಾರಿ,string
Anbarasan. T.M.,ಅನ್ಬರಸನ್. ಟಿ.ಎಂ.,string
Anbil Mahesh,ಅನ್ಬಿಲ್ ಮಹೇಶ್,string
Anbil Mahesh Poyyamozhi,ಅನ್ಬಿಲ್ ಮಹೇಶ್ ಪೊಯ್ಯಮೊಳಿ,string
Andi Ambalam M.A,ಆಂಡಿ ಅಂಬಲಂ ಎಂ.ಎ,string
Andipatti,ಆಂಡಿಪಟ್ಟಿ,string
Angamaly,ಅಂಗಮಾಲಿ,string
Anil Adhikari,ಅನಿಲ್ ಅಧಿಕಾರಿ,string
Anil Akkara,ಅನಿಲ್ ಅಕ್ಕರ,string
Anisur Rahaman,ಅನಿಸುರ್ ರೆಹಮಾನ್,string
Anitha R Radhakrishnan,ಅನಿತಾ ಆರ್ ರಾಧಾಕೃಷ್ಣನ್,string
Anitha R. Radhakrishnan,ಅನಿತಾ ಆರ್. ರಾಧಾಕೃಷ್ಣನ್,string
Anna Nagar,ಅಣ್ಣಾ ನಗರ,string
Annibal Kennedy,ಅನ್ನಿಬಲ್ ಕೆನಡಿ,string
Anoop Jacob,ಅನೂಪ್ ಜೇಕಬ್,string
Anthiyur,ಅಂತಿಯೂರು,string
Antony John,ಆಂಟೋನಿ ಜಾನ್,string
Antony Raju,ಆಂಟನಿ ರಾಜು,string
Anup Kumar Saha,ಅನುಪ್ ಕುಮಾರ್ ಸಹಾ,string
Anwar Hussain Laskar,ಅನ್ವರ್ ಹುಸೇನ್ ಲಸ್ಕರ್,string
Anwar Sadath,ಅನ್ವರ್ ಸಾದತ್,string
Apurba Chowdhury,ಅಪುರ್ಬಾ ಚೌಧರಿ,string
Apurba Sarkar,ಅಪುರ್ಬಾ ಸರ್ಕಾರ್,string
Arakkonam (SC),ಅರಕ್ಕೋಣಂ (ಎಸ್‌ಸಿ),string
Arambagh,ಅರಾಂಬಾಗ್,string
Arani,ಅರಣಿ,string
Aranmula,ಅರನ್ಮುಲ,string
Aranthangi,ಅರಂತಂಗಿ,string
Arasu R T,ಅರಸು ಆರ್ ಟಿ,string
Aravakurichi,ಅರವಕುರಿಚಿ,string
Arcot,ಆರ್ಕಾಟ್,string
Ardhendu Maity,ಅರ್ಧೇಂದು ಮೈಟಿ,string
Arghya Roy Pradhan,ಅರ್ಘ್ಯ ರಾಯ್ ಪ್ರಧಾನ್,string
Ariankuppam,ಅರಿಯನ್ಕುಪ್ಪಂ,string
Arindam Bhattacharya,ಅರಿಂದಮ್ ಭಟ್ಟಾಚಾರ್ಯ,string
Arindam Guin,ಅರಿಂದಮ್ ಗಿನ್,string
Ariyalur,ಅರಿಯಲೂರು,string
Arjun Singh,ಅರ್ಜುನ್ ಸಿಂಗ್,string
Aroop Biswas,ಅರೂಪ್ ಬಿಸ್ವಾಸ್,string
Aroor,ಆರೂರ್,string
Arul Ramadas,ಅರುಳ್ ರಾಮದಾಸ್,string
Arumugam.B,ಅರುಮುಗಂ.ಬಿ,string
Arun Kumar. P.R.G.,ಅರುಣ್ ಕುಮಾರ್. ಪಿ.ಆರ್.ಜಿ.,string
Arunava Sen,ಅರುಣವ ಸೇನ್,string
Arundhuti Maitra,ಅರುಂಧುತಿ ಮೈತ್ರಾ,string
Arup Chakraborty,ಅರೂಪ್ ಚಕ್ರವರ್ತಿ,string
Arup Dhara,ಅರೂಪ್ ಧಾರಾ,string
Arup Kumar Das,ಅರುಪ್ ಕುಮಾರ್ ದಾಸ್,string
Arup Kumar Khan,ಅರೂಪ್ ಕುಮಾರ್ ಖಾನ್,string
Arup Roy,ಅರೂಪ್ ರಾಯ್,string
Aruppukkottai,ಅರುಪ್ಪುಕ್ಕೊಟ್ಟೈ,string
Aruvikkara,ಅರುವಿಕ್ಕರ,string
Asansol Dakshin,ಅಸನ್ಸೋಲ್ ದಕ್ಷಿಣ್,string
Asansol Uttar,ಅಸನ್ಸೋಲ್ ಉತ್ತರ,string
Ashim Biswas,ಆಶಿಮ್ ಬಿಸ್ವಾಸ್,string
Ashim Kumar Majhi,ಆಶಿಮ್ ಕುಮಾರ್ ಮಾಝಿ,string
Ashim Kumar Sarkar,ಆಶಿಮ್ ಕುಮಾರ್ ಸರ್ಕಾರ್,string
Ashima Patra,ಅಶಿಮಾ ಪತ್ರ,string
Ashis Chakraborty,ಆಶಿಸ್ ಚಕ್ರವರ್ತಿ,string
Ashis Marjit,ಆಶಿಸ್ ಮರ್ಜಿತ್,string
Ashish Banerjee,ಆಶಿಶ್ ಬ್ಯಾನರ್ಜಿ,string
Ashish Kumar Biswas,ಆಶಿಶ್ ಕುಮಾರ್ ಬಿಸ್ವಾಸ್,string
Ashish Marjit,ಆಶಿಶ್ ಮರ್ಜಿತ್,string
Ashok Anand,ಅಶೋಕ್ ಆನಂದ್,string
Ashok Bhattacharya,ಅಶೋಕ್ ಭಟ್ಟಾಚಾರ್ಯ,string
Ashok Chattopadhyaya,ಅಶೋಕ್ ಚಟ್ಟೋಪಾಧ್ಯಾಯ,string
Ashok Dinda,ಅಶೋಕ್ ದಿಂಡಾ,string
Ashok Kirtania,ಅಶೋಕ್ ಕೀರ್ತಾನಿಯಾ,string
Ashok Kumar Deb,ಅಶೋಕ್ ಕುಮಾರ್ ದೇಬ್,string
Ashok Lahiri,ಅಶೋಕ್ ಲಾಹಿರಿ,string
Ashok Sarma,ಅಶೋಕ್ ಶರ್ಮಾ,string
Ashok Singhal,ಅಶೋಕ್ ಸಿಂಘಾಲ್,string
Ashokenagar,ಅಶೋಕನಗರ,string
Ashraful Hussain,ಅಶ್ರಫುಲ್ ಹುಸೇನ್,string
Ashwini Roy Sarkar,ಅಶ್ವಿನಿ ರಾಯ್ ಸರ್ಕಾರ್,string
Asif Mehbub,ಆಸಿಫ್ ಮೆಹಬೂಬ್,string
Asish Banerjee,ಆಶಿಶ್ ಬ್ಯಾನರ್ಜಿ,string
Asit Mazumdar,ಅಸಿತ್ ಮಜುಂದಾರ್,string
Asit Mazumder,ಅಸಿತ್ ಮಜುಂದರ್,string
Asit Mitra,ಅಸಿತ್ ಮಿತ್ರ,string
Asok Kumar Chattopadhyay,ಅಶೋಕ್ ಕುಮಾರ್ ಚಟ್ಟೋಪಾಧ್ಯಾಯ,string
Athoor,ಅತ್ತೂರ್,string
Atin Ghosh,ಅತಿನ್ ಘೋಷ್,string
Attingal,ಅಟ್ಟಿಂಗಲ್,string
Attur (SC),ಅತ್ತೂರ್ (ಎಸ್‌ಸಿ),string
Atul Bora,ಅತುಲ್ ಬೋರಾ,string
Ausgram (SC),ಆಸ್ಗ್ರಾಮ್ (ಎಸ್‌ಸಿ),string
Avadi,ಅವಡಿ,string
Avanashi (SC),ಅವನಶಿ (ಎಸ್‌ಸಿ),string
Azhikode,ಅಝಿಕೋಡ್,string
Aziz Ahmed Khan,ಅಜೀಜ್ ಅಹಮದ್ ಖಾನ್,string
B. D. Devassy,ಬಿ ಡಿ ದೇವಸ್ಸಿ,string
B. Kobiga,ಬಿ.ಕೋಬಿಗ,string
B. Ranganathan,ಬಿ.ರಂಗನಾಥನ್,string
B. Sathyanarayanan,ಬಿ.ಸತ್ಯನಾರಾಯಣನ್,string
B. Satyan,ಬಿ ಸತ್ಯನ್,string
BAJALI,ಬಜಾಲಿ,string
BAKSA (ST),ಬಕ್ಸಾ (ಎಸ್‌ಟಿ),string
BAOKHUNGRI,BAOKHUNGRI,string
BARCHALLA,ಬಾರ್ಚಲ್ಲಾ,string
BARHAMPUR,ಬರ್ಹಂಪುರ,string
BARKHETRI,ಬರ್ಖೇತ್ರಿ,string
BARKHOLA,ಬರ್ಖೋಲಾ,string
BARPETA (SC),ಬರ್ಪೆಟಾ (ಎಸ್‌ಸಿ),string
BEHALI (SC),ಬೆಹಾಲಿ (ಎಸ್‌ಸಿ),string
BHERGAON,ಭೆರ್ಗಾಂವ್,string
BHOWANIPUR-SORBHOG,ಭೋವಾನಿಪುರ-ಸೋರ್ಭೋಗ್,string
BIHPURIA,ಬಿಹ್ಪುರಿಯಾ,string
BIJNI,BIJNI,string
BILASIPARA,ಬಿಲಾಸಿಪರಾ,string
BINNAKANDI,ಬಿನ್ನಕಂಡಿ,string
BIRSING JARUA,ಬಿರ್ಸಿಂಗ್ ಜರುವಾ,string
BISWANATH,ಬಿಸ್ವನಾಥ್,string
BJP,ಬಿಜೆಪಿ,string
BOKAJAN (ST),ಬೊಕಜನ್ (ಎಸ್‌ಟಿ),string
BOKAKHAT,ಬೊಕಾಖಾತ್,string
BOKO-CHAYGAON (ST),ಬೊಕೊ-ಚಯಗಾಂವ್ (ಎಸ್‌ಟಿ),string
BONGAIGAON,ಬೊಂಗೈಗಾನ್,string
BPF,BPF,string
Bachchu Hansda,ಬಚ್ಚು ಹಂಸದಾ,string
Badarpur,ಬದರ್ಪುರ್,string
Baduria,ಬದುರಿಯಾ,string
Bagdah,ಬಾಗ್ದಾ,string
Baghbor,ಬಾಗ್ಬೋರ್,string
Baghmundi,ಬಾಗ್ಮುಂಡಿ,string
Bagnan,ಬಗ್ನಾನ್,string
Baharampur,ಬಹರಂಪುರ,string
Bahour,ಬಹೂರ್,string
Baishali Dalmiya,ಬೈಶಾಲಿ ದಾಲ್ಮಿಯಾ,string
Baisnabnagar,ಬೈಸ್ನಾಬ್ನಗರ,string
Baithalangso (ST),ಬೈತಲಾಂಗ್ಸೊ (ಎಸ್‌ಟಿ),string
Bajali,ಬಜಾಲಿ,string
Baksa,ಬಕ್ಸ,string
Balagarh (SC),ಬಲಗಢ (ಎಸ್‌ಸಿ),string
Balakrishna Reddy P,ಬಾಲಕೃಷ್ಣ ರೆಡ್ಡಿ ಪಿ,string
Balarampur,ಬಲರಾಮಪುರ,string
Balasubramani R.,ಬಾಲಸುಬ್ರಮಣಿ ಆರ್.,string
Bally,ಬಲ್ಲಿ,string
Ballygunge,ಬ್ಯಾಲಿಗಂಗೆ,string
Balurghat,ಬಲೂರ್ಘಾಟ್,string
Balussery,ಬಾಲುಸ್ಸೆರಿ,string
Banasri Maity,ಬನಶ್ರೀ ಮೈತಿ,string
Bandwan (ST),ಬಂದ್ವಾನ್ (ಎಸ್‌ಟಿ),string
Baneswar Mahato,ಬಾಣೇಶ್ವರ ಮಹತೋ,string
Bangaon Dakshin (SC),ಬಂಗಾವ್ ದಕ್ಷಿಣ (ಎಸ್‌ಸಿ),string
Bangaon Uttar (SC),ಬಂಗಾವ್ ಉತ್ತರ (ಎಸ್‌ಸಿ),string
Bankim Chandra Ghosh,ಬಂಕಿಮ್ ಚಂದ್ರ ಘೋಷ್,string
Bankim Chandra Hazra,ಬಂಕಿಮ್ ಚಂದ್ರ ಹಜ್ರಾ,string
Bankura,ಬಂಕುರಾ,string
Barabani,ಬರಬಾನಿ,string
Barama (ST),ಬರಮಾ (ಎಸ್‌ಟಿ),string
Baranagar,ಬಾರಾನಗರ,string
Barasat,ಬರಾಸತ್,string
Barchalla,ಬರ್ಚಲ್ಲಾ,string
Barddhaman,ಬರ್ದ್ಧಮಾನ್,string
Bardhaman Dakshin,ಬರ್ಧಮಾನ್ ದಕ್ಷಿಣ್,string
Bardhaman Uttar,ಬರ್ಧಮಾನ್ ಉತ್ತರ,string
Baren Chandra Barman,ಬರೆನ್ ಚಂದ್ರ ಬರ್ಮನ್,string
Bargur,ಬರಗೂರು,string
Barhampur,ಬರ್ಹಾಂಪುರ,string
Barjora,ಬಾರ್ಜೋರಾ,string
Barkhetry,ಬರ್ಖೆಟ್ರಿ,string
Barkhola,ಬರ್ಖೋಲಾ,string
Barpeta,ಬಾರ್ಪೆಟಾ,string
Barrackpur,ಬ್ಯಾರಕ್ಪುರ,string
Baruipur Paschim,ಬರುಯಿಪುರ್ ಪಶ್ಚಿಮ್,string
Baruipur Purba (SC),ಬರುಯಿಪುರ್ ಪುರ್ಬಾ (ಎಸ್‌ಸಿ),string
Basanta Das,ಬಸಂತ ದಾಸ್,string
Basanti (SC),ಬಸಂತಿ (ಎಸ್‌ಸಿ),string
Basirhat Dakshin,ಬಸಿರ್ಹತ್ ದಕ್ಷಿಣ,string
Basirhat Uttar,ಬಸಿರ್ಹತ್ ಉತ್ತರ,string
Baskaran.G,ಬಾಸ್ಕರನ್.ಜಿ,string
Batadroba,ಬಟಾಡ್ರೋಬಾ,string
Becharam Manna,ಬೇಚರಂ ಮನ್ನಾ,string
Begum Nargis,ಬೇಗಂ ನರ್ಗೀಸ್,string
Behala Paschim,ಬೆಹಲಾ ಪಶ್ಚಿಮ್,string
Behala Purba,ಬೆಹಲಾ ಪುರ್ಬಾ,string
Behali,ಬೆಹಲಿ,string
Beldanga,ಬೆಳ್ದಂಗ,string
Beleghata,ಬೆಳೆಘಾಟ,string
Beypore,ಬೇಪೋರ್,string
Bhabanipur,ಭಬಾನಿಪುರ,string
Bhabendra Nath Bharali,ಭಬೇಂದ್ರ ನಾಥ್ ಭಾರಾಲಿ,string
Bhabesh Kalita,ಭಾಬೇಶ್ ಕಲಿತಾ,string
Bhagabangola,ಭಾಗಬಂಗೋಲ,string
Bhagabanpur,ಭಾಗಬನಪುರ,string
Bhangar,ಭಂಗಾರ್,string
Bharat Chandra Narah,ಭರತ ಚಂದ್ರ ನರಃ,string
Bharathi.P.V,ಭಾರತಿ.ಪಿ.ವಿ,string
Bharatpur,ಭರತಪುರ,string
Bhaskar Jyoti Baruah,ಭಾಸ್ಕರ್ ಜ್ಯೋತಿ ಬರುವಾ,string
Bhaskar Sharma,ಭಾಸ್ಕರ್ ಶರ್ಮಾ,string
Bhatar,ಭಟರ,string
Bhatpara,ಭಟ್ಪರಾ,string
Bhavani,ಭವಾನಿ,string
Bhavanisagar,ಭವಾನಿಸಾಗರ,string
Bhubon Pegu,ಭುಬೊನ್ ಪೆಗು,string
Bhupen Boro,ಭೂಪೇನ್ ಬೋರೋ,string
Bhupendra Nath Halder,ಭೂಪೇಂದ್ರ ನಾಥ್ ಹಲ್ದರ್,string
Bhuvanagiri,ಭುವನಗಿರಿ,string
Bidesh Ranjan Bose,ಬಿಡೇಶ್ ರಂಜನ್ ಬೋಸ್,string
Bidhan Chandra Majhi,ಬಿಧನ್ ಚಂದ್ರ ಮಾಝಿ,string
Bidhan Upadhyay,ಬಿಧಾನ್ ಉಪಾಧ್ಯಾಯ,string
Bidhannagar,ಬಿಧಾನನಗರ,string
Bidya Sing Engleng,ಬಿದ್ಯಾ ಸಿಂಗ್ ಇಂಗ್ಲೆಂಗ್,string
Bihpuria,ಬಿಹ್ಪುರಿಯಾ,string
Bijni,ಬಿಜ್ನಿ,string
Bijoy Malakar,ಬಿಜೋಯ್ ಮಾಲಕರ್,string
Bijpur,ಬಿಜಪುರ,string
Bikash Roy Choudhury,ಬಿಕಾಶ್ ರಾಯ್ ಚೌಧರಿ,string
Bikram Chandra Pradhan,ಬಿಕ್ರಮ್ ಚಂದ್ರ ಪ್ರಧಾನ್,string
Bilasipara East,ಬಿಲಾಸಿಪಾರ ಪೂರ್ವ,string
Bilasipara West,ಬಿಲಾಸಿಪಾರ ಪಶ್ಚಿಮ,string
Bimal Bora,ಬಿಮಲ್ ಬೋರಾ,string
Bimal Borah,ಬಿಮಲ್ ಬೋರಾಹ್,string
Bimalendu Sinha Roy,ಬಿಮಲೇಂದು ಸಿನ್ಹಾ ರಾಯ್,string
Biman Banerjee,ಬಿಮನ್ ಬ್ಯಾನರ್ಜಿ,string
Biman Ghosh,ಬಿಮನ್ ಘೋಷ್,string
Bina Mandal,ಬೀನಾ ಮಂಡಲ್,string
Bina Mondal,ಬೀನಾ ಮೊಂಡಲ್,string
Binanda Kumar Saikia,ಬಿನಂದ ಕುಮಾರ್ ಸೈಕಿಯಾ,string
Binay Krishna Barman,ಬಿನಯ್ ಕೃಷ್ಣ ಬರ್ಮನ್,string
Binod Hazarika,ಬಿನೋದ್ ಹಜಾರಿಕಾ,string
Binpur (ST),ಬಿನ್ಪುರ್ (ಎಸ್‌ಟಿ),string
Biplab Mitra,ಬಿಪ್ಲಬ್ ಮಿತ್ರ,string
Biplab Roy Chowdhury,ಬಿಪ್ಲಬ್ ರಾಯ್ ಚೌಧರಿ,string
Bir Bhadra Hagjer,ಬೀರ್ ಭದ್ರ ಹಗ್ಜೆರ್,string
Birbaha Hansda,ಬಿರ್ಬಹಾ ಹನ್ಸ್ದಾ,string
Birbhum,ಬಿರ್ಭೂಮ್,string
Birendra Nath Tudu,ಬೀರೇಂದ್ರ ನಾಥ್ ತುಡು,string
Bishal Lama,ಬಿಶಾಲ್ ಲಾಮಾ,string
Bishnu Pada Ray,ಬಿಷ್ಣು ಪದ ರೇ,string
Bishnu Prasad Sharma,ಬಿಷ್ಣು ಪ್ರಸಾದ್ ಶರ್ಮಾ,string
Bishnupur,ಬಿಷ್ಣುಪುರ,string
Bishnupur (SC),ಬಿಷ್ಣುಪುರ್ (ಎಸ್‌ಸಿ),string
